2026-04-10 15:15:45,083 - optuna.storages._in_memory - INFO - A new study created in memory with name: xgb_tuning
2026-04-10 15:15:45,604 - optuna.study.study - INFO - Trial 0 finished with value: 0.9248130354957473 and parameters: {'max_depth': 5, 'min_child_weight': 3, 'gamma': 1.5, 'lambda': 1.5, 'alpha': 0.1, 'learning_rate': 0.06207090305742937, 'subsample': 0.7, 'colsample_bytree': 1.0}. Best is trial 0 with value: 0.9248130354957473.
2026-04-10 15:15:46,468 - optuna.study.study - INFO - Trial 1 finished with value: 0.9436232559030436 and parameters: {'max_depth': 7, 'min_child_weight': 3, 'gamma': 0.0, 'lambda': 2.0, 'alpha': 0.9, 'learning_rate': 0.06711365444277669, 'subsample': 0.7, 'colsample_bytree': 0.7}. Best is trial 1 with value: 0.9436232559030436.
2026-04-10 15:15:47,115 - optuna.study.study - INFO - Trial 2 finished with value: 0.9330690097430854 and parameters: {'max_depth': 5, 'min_child_weight': 2, 'gamma': 1.0, 'lambda': 1.0, 'alpha': 0.6000000000000001, 'learning_rate': 0.06066716167545479, 'subsample': 0.7999999999999999, 'colsample_bytree': 0.7999999999999999}. Best is trial 1 with value: 0.9436232559030436.
2026-04-10 15:15:47,993 - optuna.study.study - INFO - Trial 3 finished with value: 0.9526133060580861 and parameters: {'max_depth': 6, 'min_child_weight': 3, 'gamma': 0.0, 'lambda': 1.5, 'alpha': 0.6000000000000001, 'learning_rate': 0.05332562317538384, 'subsample': 0.8999999999999999, 'colsample_bytree': 0.7}. Best is trial 3 with value: 0.9526133060580861.
2026-04-10 15:15:48,530 - optuna.study.study - INFO - Trial 4 finished with value: 0.9250843707249672 and parameters: {'max_depth': 4, 'min_child_weight': 3, 'gamma': 2.0, 'lambda': 2.0, 'alpha': 0.30000000000000004, 'learning_rate': 0.05724986625725794, 'subsample': 0.8999999999999999, 'colsample_bytree': 0.7999999999999999}. Best is trial 3 with value: 0.9526133060580861.
2026-04-10 15:15:49,394 - optuna.study.study - INFO - Trial 5 finished with value: 0.9553472811607113 and parameters: {'max_depth': 4, 'min_child_weight': 2, 'gamma': 0.0, 'lambda': 2.0, 'alpha': 0.2, 'learning_rate': 0.12527031373763467, 'subsample': 0.7999999999999999, 'colsample_bytree': 0.8999999999999999}. Best is trial 5 with value: 0.9553472811607113.
2026-04-10 15:15:49,877 - optuna.study.study - INFO - Trial 6 finished with value: 0.9219409137651425 and parameters: {'max_depth': 6, 'min_child_weight': 1, 'gamma': 2.0, 'lambda': 2.0, 'alpha': 1.0, 'learning_rate': 0.17286606700454452, 'subsample': 0.8999999999999999, 'colsample_bytree': 1.0}. Best is trial 5 with value: 0.9553472811607113.
2026-04-10 15:15:50,612 - optuna.study.study - INFO - Trial 7 finished with value: 0.9536079666727331 and parameters: {'max_depth': 4, 'min_child_weight': 1, 'gamma': 0.0, 'lambda': 1.0, 'alpha': 0.4, 'learning_rate': 0.07283471078522427, 'subsample': 1.0, 'colsample_bytree': 0.7999999999999999}. Best is trial 5 with value: 0.9553472811607113.
2026-04-10 15:15:51,320 - optuna.study.study - INFO - Trial 8 finished with value: 0.9568314052827871 and parameters: {'max_depth': 5, 'min_child_weight': 2, 'gamma': 0.0, 'lambda': 2.0, 'alpha': 0.0, 'learning_rate': 0.1963971335197028, 'subsample': 1.0, 'colsample_bytree': 0.7}. Best is trial 8 with value: 0.9568314052827871.
2026-04-10 15:15:51,864 - optuna.study.study - INFO - Trial 9 finished with value: 0.9248194344532473 and parameters: {'max_depth': 4, 'min_child_weight': 3, 'gamma': 1.5, 'lambda': 1.5, 'alpha': 0.8, 'learning_rate': 0.05540504688428008, 'subsample': 0.7999999999999999, 'colsample_bytree': 0.7}. Best is trial 8 with value: 0.9568314052827871.
2026-04-10 15:15:52,393 - optuna.study.study - INFO - Trial 10 finished with value: 0.9446429239136682 and parameters: {'max_depth': 8, 'min_child_weight': 2, 'gamma': 0.5, 'lambda': 0.5, 'alpha': 0.0, 'learning_rate': 0.17597001178148583, 'subsample': 1.0, 'colsample_bytree': 0.8999999999999999}. Best is trial 8 with value: 0.9568314052827871.
